Model,F1 Macro,Precision,Recall,Accuracy,CV F1 (5-fold),Best Params
SVM RBF (tuned) ★ WINNER,0.8116005016001021,0.8095082981777756,0.8147161351830442,0.8083333333333333,0.8121265162700476,"{'C': 0.1, 'gamma': 'scale'}"
Logistic Regression,0.8065613880974665,0.8046947975325688,0.8095220307887621,0.8033333333333333,0.8117927283341327,"lbfgs, max_iter=1000"
Random Forest (tuned),0.8006777571485282,0.7997465452435497,0.8018561104738993,0.7966666666666666,0.8078067571213212,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}"
"RF Baseline (n=30, d=4)",0.7851128732692829,,,0.7808333333333334,,"n=30, depth=4"
